id,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range,price_range_2
16,1846,1,1.0,0,1.791759469228055,1,53,0.7,106,8,7,49.65194554699726,1832,563,9,1.791759469228055,10,1,0,1,0,low cost
17,1985,0,0.5,1,2.70805020110221,1,26,1.0,163,2,17,93.04420086553125,1511,2083,13,1.3862943611198906,14,1,1,0,2,high cost
18,1042,0,2.9,0,1.791759469228055,1,48,0.2,186,4,15,68.88242579114475,532,2187,9,1.0986122886681098,5,1,0,0,1,medium cost
19,1231,1,1.7,1,1.0986122886681098,1,37,0.2,194,2,3,29.706579317040237,1771,3902,19,2.5649493574615367,15,1,0,1,3,very high cost
20,1488,0,2.6,0,2.302585092994046,0,37,0.7,189,4,20,19.769517465109402,559,2524,5,0.0,6,0,0,0,2,high cost
21,968,0,0.6,0,2.1972245773362196,1,7,0.7,151,1,17,84.67782487179552,1930,1357,15,0.6931471805599453,16,1,1,0,1,medium cost
22,529,0,2.6,1,0.6931471805599453,0,60,0.5,101,5,5,86.05825959189278,1591,3456,13,2.4849066497880004,9,0,1,0,3,very high cost
23,1558,0,1.7,1,2.0794415416798357,0,50,0.1,115,2,10,103.89663688125982,1587,1641,17,0.0,9,0,1,1,1,medium cost
24,533,1,0.7,1,2.833213344056216,0,58,0.8,97,5,18,85.3312785197208,1111,2322,17,1.3862943611198906,2,0,1,0,1,medium cost
25,1037,0,1.7,1,0.6931471805599453,0,5,0.7,125,3,6,125.67057947760951,1321,3862,17,1.6094379124341003,7,1,1,0,3,very high cost
26,1025,0,1.6,1,1.9459101490553132,1,43,0.7,122,3,16,116.50046679773168,1306,557,15,2.3978952727983707,14,1,1,1,0,low cost
27,1858,0,3.0,1,0.0,0,17,0.6,124,4,1,90.25122066154717,1200,2427,16,2.4849066497880004,13,1,1,0,2,high cost
28,980,0,0.5,0,0.6931471805599453,0,8,0.1,91,5,5,21.9932077756164,658,625,17,1.3862943611198906,7,0,1,1,0,low cost
29,644,1,0.5,1,2.302585092994046,0,15,0.2,139,5,10,94.04343833670508,630,3836,10,2.302585092994046,10,1,0,1,3,very high cost
30,1024,1,1.6,1,0.0,1,38,0.8,81,2,0,39.957948786616,1048,854,11,1.3862943611198906,10,1,0,0,0,low cost
31,1981,0,2.9,1,1.0986122886681098,1,11,0.3,184,8,13,109.69640649609528,1408,2383,11,1.0986122886681098,18,1,0,0,2,high cost
32,1380,0,2.6,1,2.772588722239781,1,56,0.5,187,8,16,84.43098401044153,643,926,9,1.791759469228055,7,1,0,0,0,low cost
33,1557,1,1.7,1,0.6931471805599453,0,32,0.3,152,7,11,134.73751190244735,1633,3048,17,2.4849066497880004,7,1,0,0,3,very high cost
34,1201,1,2.2,1,2.3978952727983707,0,49,0.8,175,4,20,100.44983008061348,992,824,18,2.6390573296152584,9,1,0,0,0,low cost
35,1074,1,1.2,0,0.0,0,45,0.8,193,3,6,126.79185974663486,1904,874,11,2.0794415416798357,2,1,0,0,0,low cost
36,1175,1,2.1,0,1.3862943611198906,0,33,0.9,124,6,8,37.97988780742848,1777,1617,5,1.3862943611198906,7,0,0,1,1,medium cost
37,1280,0,0.9,1,1.6094379124341003,1,8,0.6,96,6,5,102.41403381693144,1557,3309,17,2.833213344056216,8,1,0,1,3,very high cost
38,1715,0,0.6,1,0.6931471805599453,1,28,0.4,112,6,16,45.916334170749444,847,1786,19,1.0986122886681098,12,1,0,1,1,medium cost
39,1165,0,0.9,0,1.6094379124341003,0,40,0.9,150,2,11,66.46482176701994,528,3128,13,0.0,14,1,0,0,2,high cost
40,567,0,2.6,0,0.0,0,2,0.2,87,4,1,49.023259027371346,566,2243,16,1.9459101490553132,10,0,1,1,1,medium cost
41,1952,1,1.4,0,1.0986122886681098,0,47,0.8,190,2,10,135.09828968055245,1892,994,9,1.791759469228055,17,0,1,1,1,medium cost
42,822,1,1.4,1,1.0986122886681098,0,43,0.3,189,8,7,95.30602986972848,851,2749,13,1.6094379124341003,16,1,0,1,2,high cost
43,685,1,0.5,1,0.0,0,12,0.5,121,6,15,28.953228357089316,633,793,5,1.6094379124341003,11,0,0,1,0,low cost
44,1388,1,0.6,1,2.5649493574615367,1,17,0.6,174,5,19,44.368309165804504,972,324,14,0.0,3,1,0,0,0,low cost
45,1972,0,2.1,0,1.0986122886681098,0,48,0.6,188,3,14,82.67472041033163,748,366,5,1.3862943611198906,17,1,1,0,0,low cost
46,1411,1,1.7,0,2.302585092994046,1,57,0.5,80,7,17,99.02029779042,1234,1228,17,1.3862943611198906,7,1,1,0,1,medium cost
47,1094,0,2.3,1,1.0986122886681098,0,20,0.9,135,1,5,54.96946688799008,610,1413,7,0.0,16,0,1,1,0,low cost
48,1653,0,0.7,1,0.6931471805599453,1,13,0.5,114,4,15,141.5852758908275,1896,2617,16,1.6094379124341003,18,1,1,1,3,very high cost
49,916,0,2.0,1,2.302585092994046,0,33,0.7,142,7,20,25.221900754044597,1867,1798,11,1.791759469228055,5,1,1,0,1,medium cost
50,1712,0,0.8,0,0.6931471805599453,0,29,0.3,149,7,6,88.80752994779769,816,2693,7,0.6931471805599453,5,1,1,0,2,high cost
51,882,1,0.9,1,2.6390573296152584,0,32,0.8,103,8,14,55.387696613351075,764,2437,17,2.70805020110221,15,0,1,1,1,medium cost
52,632,0,1.2,0,1.9459101490553132,1,33,0.5,101,2,10,99.3478797897085,992,837,16,1.6094379124341003,3,1,0,0,0,low cost
53,1442,1,0.5,1,0.0,0,56,0.4,165,3,3,99.6087955495734,1695,2815,6,0.0,8,0,1,1,3,very high cost
54,900,0,1.9,0,2.4849066497880004,0,47,0.2,150,8,14,33.268111791850956,663,1440,14,1.0986122886681098,4,1,1,1,0,low cost
55,1630,1,0.6,1,1.6094379124341003,0,20,0.9,153,7,10,122.7688971088152,1360,3470,17,1.9459101490553132,4,1,1,0,3,very high cost
56,1596,1,1.4,1,1.9459101490553132,0,24,0.3,174,5,15,71.40519338470322,1022,1251,18,2.772588722239781,2,1,1,1,1,medium cost
57,1272,1,0.5,0,2.302585092994046,1,54,0.6,133,8,11,149.5868834938006,1871,3181,10,1.9459101490553132,14,1,0,1,3,very high cost
58,1640,0,2.5,1,0.6931471805599453,0,7,0.2,135,4,2,107.58497424763668,1788,1361,9,0.6931471805599453,7,0,1,1,1,medium cost
59,1111,0,1.4,1,2.3978952727983707,0,15,0.5,198,7,14,88.34469780627934,666,1630,13,1.791759469228055,2,1,0,1,1,medium cost
60,1889,1,2.9,0,2.772588722239781,0,25,0.3,90,2,17,79.4510618450125,755,3689,9,1.9459101490553132,2,1,0,1,3,very high cost
61,1907,1,1.1,1,0.6931471805599453,0,22,0.1,80,8,4,84.51337427779202,1113,3586,11,1.0986122886681098,6,1,0,1,3,very high cost
62,529,0,2.5,1,1.791759469228055,0,56,0.3,139,4,6,40.15083324286404,647,3942,10,0.0,7,0,0,1,3,very high cost
63,578,0,0.5,0,1.3862943611198906,1,38,0.7,121,6,5,8.899094542994783,667,1431,5,0.0,7,1,0,0,0,low cost
64,1634,1,2.3,1,1.0986122886681098,1,39,0.4,164,1,7,74.11508483969097,636,2167,12,0.0,20,1,1,1,1,medium cost
65,1533,1,1.2,1,0.6931471805599453,1,22,0.6,172,3,15,10.269276061305815,1345,1248,9,1.0986122886681098,9,1,0,0,0,low cost
66,660,0,0.6,0,1.791759469228055,1,47,0.1,83,3,6,20.419949415781353,1552,1986,8,0.0,15,1,1,0,1,medium cost
67,1847,1,1.6,0,2.3978952727983707,1,28,0.2,111,4,14,138.27329717004434,1508,1378,5,1.0986122886681098,18,1,0,1,1,medium cost
68,1206,1,0.5,1,1.9459101490553132,0,10,0.8,134,8,20,131.45542388425346,1361,2959,5,0.6931471805599453,20,0,0,1,3,very high cost
69,549,1,0.5,0,1.3862943611198906,1,53,0.8,173,5,5,88.73062667697654,1386,1893,5,1.0986122886681098,19,1,1,1,1,medium cost
70,1705,1,2.8,0,1.0986122886681098,1,23,1.0,122,3,20,140.65816822975407,1808,1676,8,1.9459101490553132,20,1,1,1,2,high cost
71,1366,0,0.5,1,1.6094379124341003,0,36,0.1,185,1,16,70.05279898628957,702,1912,17,2.6390573296152584,19,0,0,1,1,medium cost
72,1991,0,0.5,0,1.791759469228055,0,58,0.6,109,5,6,111.69178617844607,1660,1947,10,1.791759469228055,7,1,0,1,2,high cost
73,1102,1,1.2,0,1.791759469228055,1,40,1.0,175,3,14,102.60113188193861,882,2734,15,2.5649493574615367,4,1,1,0,2,high cost
74,1452,0,1.1,0,1.3862943611198906,1,32,0.5,175,3,5,98.9545882757388,1704,3617,16,0.6931471805599453,12,1,1,0,3,very high cost
75,1810,1,1.1,1,1.9459101490553132,0,63,0.9,151,1,19,90.77494858781643,1752,3414,18,2.3978952727983707,10,1,0,0,3,very high cost
76,1166,1,2.2,1,1.0986122886681098,1,41,1.0,165,7,4,97.69363702574496,1078,482,19,2.4849066497880004,11,1,1,1,0,low cost
77,881,1,0.8,1,1.791759469228055,0,6,0.4,117,6,12,106.12131702614525,1015,2813,18,0.6931471805599453,17,1,0,1,2,high cost
78,1134,1,0.5,1,0.0,1,64,0.5,166,5,0,97.1554642291012,1597,661,13,2.0794415416798357,20,1,0,0,0,low cost
79,1031,1,2.0,1,0.6931471805599453,1,20,0.7,177,1,4,80.07433859686145,911,2546,9,1.9459101490553132,12,1,0,1,1,medium cost
80,1376,1,2.4,1,0.0,1,34,0.4,167,6,1,102.66338374604597,1371,3922,5,0.0,2,1,0,0,3,very high cost
81,1391,0,1.4,1,1.0986122886681098,1,56,0.1,137,5,8,53.11531324649789,900,1199,15,2.1972245773362196,10,1,1,1,0,low cost
82,979,0,2.1,0,1.9459101490553132,0,24,0.6,124,5,16,125.67057947760951,1256,3779,7,1.0986122886681098,20,0,1,0,3,very high cost
83,1075,1,1.9,0,0.0,0,36,0.6,127,4,3,131.7899162921098,1427,3870,8,1.3862943611198906,20,1,1,0,3,very high cost
84,968,0,0.5,1,2.6390573296152584,1,61,0.1,168,8,16,31.88205925308778,1585,858,8,2.0794415416798357,11,1,1,0,0,low cost
85,1999,0,0.5,1,0.6931471805599453,1,15,0.7,183,8,11,14.811504994686787,653,3840,19,2.8903717578961645,12,1,0,1,3,very high cost
86,1626,0,2.7,0,1.3862943611198906,0,20,0.1,164,2,17,121.05892760044814,1499,454,8,1.6094379124341003,6,1,1,0,0,low cost
87,942,0,1.7,1,2.70805020110221,0,28,0.8,153,8,20,68.9898443130089,797,3953,13,2.4849066497880004,7,0,0,1,3,very high cost
88,1182,0,1.7,0,1.6094379124341003,1,42,0.9,189,3,20,96.27147979860938,661,1633,14,1.3862943611198906,6,1,0,1,1,medium cost
89,1982,1,0.8,1,2.302585092994046,0,48,0.4,98,6,16,49.338643518975964,709,3035,10,1.6094379124341003,9,1,0,1,3,very high cost
90,1373,0,1.4,1,1.3862943611198906,0,27,0.6,80,8,6,95.79052921178885,1100,966,14,0.0,9,0,0,1,0,low cost
91,1151,0,1.7,1,2.1972245773362196,0,44,0.5,107,8,17,76.42127851893494,1014,1761,7,1.6094379124341003,10,1,0,0,1,medium cost
92,1650,1,2.1,1,1.9459101490553132,0,51,0.9,99,5,15,79.18193912695746,1416,1938,14,0.0,3,0,1,1,2,high cost
93,1663,1,0.6,1,0.0,0,17,0.7,152,4,2,86.93539909102134,886,2820,14,0.6931471805599453,5,1,1,1,2,high cost
94,1965,1,0.5,0,0.0,1,3,0.9,168,7,17,133.35942351753636,1949,305,6,0.0,20,1,0,0,0,low cost
95,679,0,0.9,1,0.0,0,41,0.3,154,4,1,103.65176045391046,920,2838,19,2.0794415416798357,6,0,0,1,2,high cost
96,1465,0,2.5,0,1.0986122886681098,0,3,1.0,90,5,8,114.53134127124694,974,2042,8,1.0986122886681098,12,0,1,1,2,high cost
97,1809,1,2.2,1,1.3862943611198906,0,27,0.3,137,5,19,89.7231493665759,1864,700,11,2.3978952727983707,12,1,0,0,1,medium cost
98,757,1,2.4,1,2.1972245773362196,1,26,0.2,164,8,17,95.79052921178885,1157,2593,19,1.3862943611198906,15,1,0,1,2,high cost
99,1034,1,0.7,0,2.0794415416798357,1,47,0.2,105,6,15,53.97971818888204,1463,1835,8,0.6931471805599453,9,1,0,0,1,medium cost
100,1119,1,2.5,0,2.302585092994046,0,23,0.8,81,4,19,77.63344732445087,1003,3121,15,1.6094379124341003,5,0,1,0,2,high cost
101,559,1,0.5,1,0.0,1,24,0.8,103,4,5,87.33005957959531,627,2023,14,0.6931471805599453,2,1,0,0,1,medium cost
102,1204,1,1.8,0,2.302585092994046,0,19,0.8,113,8,15,96.81686987110609,1872,737,10,1.791759469228055,18,0,0,0,0,low cost
103,1008,0,2.3,1,1.6094379124341003,1,15,0.4,89,8,19,83.60094818519823,692,450,11,2.0794415416798357,18,1,0,0,0,low cost
104,1397,1,2.7,1,1.6094379124341003,0,19,0.5,146,7,13,118.21824015480051,1829,2928,12,1.0986122886681098,4,0,0,0,3,very high cost
105,697,0,0.6,1,0.0,1,34,0.1,114,4,6,67.79664014322734,610,1694,14,2.1972245773362196,8,1,0,1,0,low cost
106,1939,1,1.3,0,1.791759469228055,0,58,0.3,174,2,17,20.419949415781353,974,2593,11,1.9459101490553132,6,0,0,1,2,high cost
107,1039,0,1.9,1,1.0986122886681098,0,15,0.7,113,1,5,131.32961683352312,1945,745,9,1.0986122886681098,10,0,0,0,0,low cost
108,1605,1,1.3,0,0.6931471805599453,1,51,0.8,83,4,20,91.88298177805753,921,1310,11,2.302585092994046,10,1,1,1,1,medium cost
109,1094,0,1.6,1,1.0986122886681098,0,34,0.6,128,8,4,103.1593613468859,836,2743,9,1.3862943611198906,20,0,0,1,2,high cost
110,769,1,0.5,1,0.6931471805599453,1,30,0.8,190,3,9,81.82029341966776,1115,3976,12,2.3978952727983707,11,1,0,1,3,very high cost
111,861,1,0.6,1,0.0,0,40,0.1,132,2,13,95.8594522775668,1062,3931,18,2.70805020110221,2,0,0,0,3,very high cost
112,504,0,0.9,1,1.6094379124341003,0,63,1.0,169,2,16,81.21494502792311,1609,3455,17,2.772588722239781,15,0,0,1,3,very high cost
113,1930,1,1.6,1,1.791759469228055,1,64,0.3,119,4,17,67.79664014322734,1205,1533,5,0.6931471805599453,6,1,0,1,1,medium cost
114,1795,1,0.6,1,2.3978952727983707,0,52,0.3,140,2,16,108.50583934765078,910,3876,18,2.8903717578961645,2,1,0,0,3,very high cost
115,1363,0,1.6,1,1.3862943611198906,1,2,0.9,159,7,6,111.69178617844607,1684,3239,11,1.791759469228055,11,1,0,0,3,very high cost
116,1376,1,2.8,0,1.3862943611198906,1,38,0.1,195,2,4,83.68445895441175,1110,3628,13,1.0986122886681098,13,1,0,0,3,very high cost
117,1981,1,0.5,0,1.0986122886681098,0,19,0.4,123,7,3,92.46620553607565,769,3663,15,0.0,2,1,0,0,3,very high cost
118,1901,0,2.7,0,1.6094379124341003,0,62,0.7,133,3,17,75.56714324467895,1989,1786,16,2.3978952727983707,5,0,1,1,2,high cost
119,1319,0,1.3,1,2.3978952727983707,0,5,0.1,140,8,17,72.12021614899344,1821,3502,14,1.9459101490553132,3,1,0,0,3,very high cost
120,859,1,2.7,0,1.791759469228055,0,58,0.4,178,1,16,127.05852464311702,1358,815,10,1.6094379124341003,2,1,0,1,0,low cost
121,1664,1,2.1,0,2.3978952727983707,0,25,0.1,147,3,11,90.1007900637077,856,275,9,1.3862943611198906,11,1,1,1,0,low cost
122,955,0,0.5,1,0.0,0,62,0.4,151,1,1,60.28070104562195,538,3758,15,1.3862943611198906,18,1,1,1,3,very high cost
123,517,0,1.5,1,1.3862943611198906,0,38,0.1,97,7,4,97.69363702574496,1138,2747,11,1.791759469228055,2,0,1,1,2,high cost
124,1806,0,1.1,0,1.0986122886681098,1,64,0.3,133,5,7,62.6243387321805,683,1809,7,1.9459101490553132,6,1,1,1,1,medium cost
125,1348,0,0.8,0,1.9459101490553132,1,50,0.1,123,4,11,89.4954822588023,1443,2086,12,2.1972245773362196,20,1,0,0,2,high cost
126,1455,0,1.4,0,0.0,0,16,0.4,164,1,1,133.60438227982283,1673,444,14,1.0986122886681098,7,0,1,0,0,low cost
127,1611,0,1.7,1,1.791759469228055,0,25,0.6,92,5,18,113.68590433740572,1297,3467,9,0.6931471805599453,8,1,1,1,3,very high cost
128,1573,1,3.0,1,1.3862943611198906,1,24,1.0,125,8,5,99.21703951162098,911,2776,5,1.3862943611198906,17,1,1,1,2,high cost
129,557,0,0.5,0,0.0,1,23,0.5,197,5,1,128.7695157681731,1682,3170,12,1.0986122886681098,7,1,1,0,2,high cost
130,1599,1,0.5,0,1.6094379124341003,0,31,0.1,130,2,5,149.6871606144614,1917,1234,11,2.3978952727983707,9,0,1,0,1,medium cost
131,1051,1,0.9,1,0.0,0,16,0.1,100,7,9,35.69136193071691,894,305,12,0.0,3,1,1,1,0,low cost
132,1857,1,1.4,1,0.0,0,14,0.9,102,2,0,131.4973142970179,1743,1745,15,2.3978952727983707,20,0,0,0,2,high cost
133,1986,0,0.5,0,1.9459101490553132,0,24,0.9,174,6,9,105.10807885271421,1061,1707,5,1.3862943611198906,12,1,0,1,1,medium cost
134,591,1,0.7,0,0.6931471805599453,0,21,0.1,185,6,7,71.61040728489291,555,2220,11,2.3978952727983707,13,1,1,0,1,medium cost
135,1140,0,1.6,1,0.0,1,56,0.3,131,7,4,118.81501742712419,1715,3130,6,1.791759469228055,9,1,0,1,3,very high cost
136,923,1,0.6,0,0.0,1,10,0.8,80,2,3,71.19923251964255,1718,1500,18,2.302585092994046,9,1,1,0,1,medium cost
137,1582,0,0.5,0,0.0,0,33,0.4,200,1,9,51.489828703037624,764,2145,9,2.0794415416798357,18,1,1,1,1,medium cost
138,723,0,0.5,0,1.791759469228055,0,63,0.5,172,8,14,111.36309836226914,1801,488,5,0.0,8,1,0,1,0,low cost
139,1251,1,3.0,1,1.3862943611198906,1,54,0.8,83,5,4,105.64634934122112,1405,3863,6,0.6931471805599453,14,1,1,0,3,very high cost
140,574,1,1.0,1,1.6094379124341003,1,60,0.1,139,2,7,112.3446443168615,1498,2913,14,0.0,9,1,0,0,2,high cost
141,948,1,0.5,1,1.791759469228055,1,60,0.2,116,2,10,55.24867518846881,1148,2094,12,2.0794415416798357,15,1,1,1,1,medium cost
142,1571,0,2.8,1,1.6094379124341003,0,44,0.4,194,5,5,42.03411024705218,718,3141,8,0.6931471805599453,17,0,0,1,2,high cost
143,564,1,0.5,0,1.0986122886681098,0,33,0.6,192,1,6,36.74718423470036,863,2573,13,1.9459101490553132,2,0,1,1,1,medium cost
144,1466,0,2.4,1,2.70805020110221,1,57,0.9,155,6,18,139.5691756983771,1727,2340,18,2.772588722239781,4,1,1,0,2,high cost
145,597,1,3.0,1,0.0,0,16,0.5,140,2,0,15.568978775126677,708,3788,12,0.0,5,0,0,1,2,high cost
146,895,1,2.5,1,2.3978952727983707,1,9,0.5,148,7,14,139.3040871532523,1691,3445,11,1.791759469228055,15,1,0,0,3,very high cost
147,1535,0,2.5,1,2.6390573296152584,1,37,1.0,82,4,16,107.52701518194078,1667,3241,6,0.0,15,1,0,1,3,very high cost
148,1832,1,0.7,0,2.0794415416798357,0,44,0.3,125,2,17,83.93431066787238,596,2976,19,1.3862943611198906,9,0,0,0,3,very high cost
149,1045,1,1.6,0,0.0,1,58,0.2,177,4,12,126.47956556841167,1772,2241,19,2.772588722239781,11,1,1,0,2,high cost
150,1483,1,0.8,0,1.6094379124341003,1,61,0.6,128,1,10,95.99708186122898,814,3843,11,2.1972245773362196,20,1,0,1,3,very high cost
151,976,0,2.0,0,0.0,1,5,0.9,184,7,14,84.01736892236671,797,3261,8,1.0986122886681098,6,1,1,1,2,high cost
152,1840,1,1.1,1,0.0,0,46,0.1,123,4,2,105.28796930149129,1521,3264,8,1.6094379124341003,16,0,1,0,3,very high cost
153,1807,0,0.6,1,0.0,0,8,0.1,89,8,15,116.8574456343544,1425,826,11,0.6931471805599453,20,0,0,0,1,medium cost
154,624,1,1.6,1,2.70805020110221,0,30,0.1,192,2,16,34.38754870266669,1052,1314,16,0.6931471805599453,10,0,1,1,0,low cost
155,1963,0,0.5,0,2.0794415416798357,1,38,0.4,193,3,15,113.63273308319715,1406,2699,7,0.0,10,1,1,0,3,very high cost
156,1307,1,0.5,0,0.0,1,4,0.3,132,4,1,29.706579317040237,1236,2565,8,1.6094379124341003,19,1,1,1,2,high cost
157,1933,1,0.5,1,1.9459101490553132,0,23,0.1,102,7,7,129.71811249773657,1846,3973,13,2.3978952727983707,19,0,0,1,3,very high cost
158,1496,1,1.3,1,0.0,0,42,0.9,124,2,5,60.65777782598545,995,3537,15,2.70805020110221,6,1,0,0,3,very high cost
159,1532,1,2.0,0,0.0,0,7,0.2,134,2,10,27.924859502669406,834,3449,5,1.6094379124341003,7,1,1,1,2,high cost
160,1004,0,1.1,1,2.0794415416798357,1,8,0.8,97,2,9,81.04086808299226,919,3895,14,2.6390573296152584,20,1,1,0,3,very high cost
161,1483,1,1.2,1,2.3978952727983707,1,38,0.1,87,5,14,67.3562792888717,1410,2777,17,2.302585092994046,16,1,1,0,3,very high cost
162,945,0,2.4,0,1.3862943611198906,0,47,0.4,141,2,11,38.18187611475126,1341,2904,19,2.70805020110221,5,0,0,0,2,high cost
163,1081,0,3.0,0,2.0794415416798357,1,17,0.1,89,5,17,47.902513369455534,1683,3774,17,2.772588722239781,16,1,1,0,3,very high cost
164,1012,0,2.8,1,1.9459101490553132,1,32,0.9,87,3,14,132.03984434956894,1997,3034,17,1.791759469228055,10,1,1,0,3,very high cost
165,1762,0,1.0,0,1.791759469228055,0,50,0.9,104,3,12,131.87331491584382,1684,2940,19,2.9444389791664403,15,0,0,1,3,very high cost
166,796,1,2.3,1,0.6931471805599453,1,36,0.3,127,8,14,83.85113983039334,935,3932,5,0.6931471805599453,5,1,1,1,3,very high cost
167,1547,0,2.5,0,2.5649493574615367,1,50,1.0,98,5,16,108.16193424258944,1024,1168,17,1.0986122886681098,17,1,1,1,1,medium cost
168,988,0,1.6,0,1.9459101490553132,1,12,0.8,132,4,8,95.23652237265196,1291,376,9,0.6931471805599453,17,1,0,1,0,low cost
169,1180,1,3.0,0,2.0794415416798357,1,43,0.8,102,1,16,140.5461953689067,1985,3510,9,1.791759469228055,13,1,1,1,3,very high cost
170,852,1,1.9,0,1.3862943611198906,1,3,0.5,161,2,4,73.12633845848609,872,542,14,2.302585092994046,9,1,0,1,0,low cost
171,607,1,0.8,0,0.6931471805599453,1,18,0.2,146,7,3,44.01701815415797,532,550,12,0.6931471805599453,12,1,0,1,0,low cost
172,1765,0,0.5,0,0.0,0,24,0.4,135,1,0,80.07433859686145,830,791,5,0.6931471805599453,4,1,0,1,0,low cost
173,1250,0,0.5,0,2.9444389791664403,0,63,0.7,165,1,19,131.83162678599632,1532,1895,13,1.9459101490553132,7,0,1,0,2,high cost
174,1577,0,2.6,1,0.0,0,55,0.5,109,5,0,134.8980617287931,1718,609,6,0.0,20,1,1,1,1,medium cost
175,1153,1,0.5,1,1.791759469228055,0,14,0.2,135,5,6,101.72356472919289,1236,263,19,2.3978952727983707,14,1,0,1,0,low cost
176,651,1,0.7,0,0.0,0,35,0.4,113,7,5,118.66627704409272,1414,2141,13,1.6094379124341003,19,1,1,1,1,medium cost
177,1186,1,2.3,1,0.6931471805599453,0,25,0.1,88,4,7,30.4453893353547,1012,1270,18,2.302585092994046,17,0,1,0,0,low cost
178,1429,1,2.5,0,1.9459101490553132,0,33,0.1,121,5,7,110.42346474017812,1846,403,11,1.9459101490553132,18,1,1,1,0,low cost
179,556,0,0.9,0,1.6094379124341003,1,10,0.8,135,8,12,49.18121369116618,688,2040,13,2.5649493574615367,2,1,0,0,1,medium cost
180,1735,1,2.7,0,1.791759469228055,1,21,0.1,126,3,8,62.86509113579277,1261,2597,16,2.5649493574615367,8,1,0,1,2,high cost
181,1859,0,0.7,0,2.1972245773362196,1,42,0.1,127,2,16,124.48657353074289,1612,714,19,2.0794415416798357,16,1,0,1,1,medium cost
182,915,0,1.3,0,1.3862943611198906,0,10,0.1,188,2,5,27.663302093841754,1266,423,13,1.3862943611198906,14,0,1,1,0,low cost
183,890,0,0.5,0,1.791759469228055,0,9,0.4,113,1,10,80.69119820837798,1134,1238,6,1.0986122886681098,17,0,0,1,0,low cost
184,758,0,2.8,0,2.6390573296152584,0,48,0.7,101,3,18,150.5512142587975,1896,926,9,1.791759469228055,18,0,0,0,1,medium cost
185,541,0,2.1,0,0.0,1,28,0.4,156,7,4,34.60776378864424,1039,2704,14,0.0,5,1,1,0,1,medium cost
186,586,0,2.9,1,1.9459101490553132,1,33,0.2,195,8,17,137.22901483473584,1644,2817,5,1.0986122886681098,5,1,1,1,2,high cost
187,762,1,0.6,1,2.4849066497880004,1,39,0.7,164,1,14,119.60326272824591,1686,2271,12,2.0794415416798357,8,1,1,0,2,high cost
188,683,0,0.5,1,0.0,1,9,0.8,186,7,3,137.07313378757271,1754,1513,6,1.791759469228055,19,1,0,0,1,medium cost
189,1526,0,0.7,1,2.3978952727983707,0,39,0.4,125,3,20,89.34324880377338,1439,339,10,2.302585092994046,19,1,0,1,0,low cost
190,1771,1,2.4,0,1.9459101490553132,0,39,0.7,188,2,9,80.95364076459889,1203,794,9,0.6931471805599453,16,1,1,1,0,low cost
